month,Referee,matches_played,total_fouls,total_cards,fouls_per_match,cards_per_match
1,A Madley,3,47,22,15.67,7.33
1,A Taylor,4,81,32,20.25,8.0
1,C Kavanagh,4,83,40,20.75,10.0
1,C Pawson,2,35,22,17.5,11.0
1,D England,2,50,20,25.0,10.0
1,F Hallam,1,30,10,30.0,10.0
1,J Brooks,2,34,26,17.0,13.0
1,J Gillett,4,81,45,20.25,11.25
1,M Donohue,1,26,11,26.0,11.0
1,M Oliver,4,90,46,22.5,11.5
1,M Salisbury,2,35,26,17.5,13.0
1,P Bankes,3,55,31,18.33,10.33
1,P Tierney,1,13,17,13.0,17.0
1,R Jones,1,23,7,23.0,7.0
1,S Attwell,3,50,32,16.67,10.67
1,S Barrott,2,43,22,21.5,11.0
1,S Hooper,3,70,34,23.33,11.33
1,T Bramall,2,47,14,23.5,7.0
1,T Harrington,3,69,30,23.0,10.0
1,T Kirk,1,28,11,28.0,11.0
1,T Robinson,1,24,8,24.0,8.0
2,A Madley,2,61,22,30.5,11.0
2,A Taylor,3,63,38,21.0,12.67
2,C Kavanagh,1,18,14,18.0,14.0
2,C Pawson,3,80,25,26.67,8.33
2,D England,2,40,18,20.0,9.0
2,F Hallam,1,19,10,19.0,10.0
2,J Brooks,2,38,20,19.0,10.0
2,J Gillett,3,69,27,23.0,9.0
2,L Smith,1,24,15,24.0,15.0
2,M Oliver,2,50,17,25.0,8.5
2,M Salisbury,1,16,12,16.0,12.0
2,P Bankes,4,91,42,22.75,10.5
2,P Tierney,3,54,15,18.0,5.0
2,R Jones,2,49,12,24.5,6.0
2,S Attwell,2,45,21,22.5,10.5
2,S Barrott,3,58,33,19.33,11.0
2,S Hooper,1,14,8,14.0,8.0
2,T Bramall,2,46,17,23.0,8.5
2,T Kirk,1,32,11,32.0,11.0
2,T Robinson,3,64,38,21.33,12.67
3,A Madley,3,76,28,25.33,9.33
3,A Taylor,2,42,26,21.0,13.0
3,C Kavanagh,4,87,36,21.75,9.0
3,C Pawson,1,19,7,19.0,7.0
3,D England,3,63,35,21.0,11.67
3,J Gillett,2,34,19,17.0,9.5
3,M Donohue,1,26,12,26.0,12.0
3,M Oliver,2,45,32,22.5,16.0
3,P Bankes,2,47,20,23.5,10.0
3,P Tierney,2,29,21,14.5,10.5
3,S Attwell,3,75,32,25.0,10.67
3,S Barrott,2,31,21,15.5,10.5
3,T Bramall,3,71,38,23.67,12.67
3,T Kirk,1,19,10,19.0,10.0
3,T Robinson,1,22,9,22.0,9.0
4,A Madley,3,71,33,23.67,11.0
4,A Taylor,3,53,38,17.67,12.67
4,C Kavanagh,3,59,38,19.67,12.67
4,C Pawson,1,21,11,21.0,11.0
4,D England,2,53,19,26.5,9.5
4,F Hallam,2,39,16,19.5,8.0
4,J Gillett,1,18,7,18.0,7.0
4,M Oliver,3,81,26,27.0,8.67
4,M Salisbury,2,41,23,20.5,11.5
4,P Tierney,2,48,28,24.0,14.0
4,R Jones,1,29,8,29.0,8.0
4,S Attwell,2,48,19,24.0,9.5
4,S Barrott,2,45,18,22.5,9.0
4,T Bramall,2,41,15,20.5,7.5
4,T Kirk,1,20,8,20.0,8.0
5,A Kitchen,1,21,14,21.0,14.0
5,A Madley,2,45,28,22.5,14.0
5,A Taylor,4,96,44,24.0,11.0
5,C Kavanagh,4,102,46,25.5,11.5
5,C Pawson,3,72,24,24.0,8.0
5,D England,2,41,21,20.5,10.5
5,F Hallam,1,21,7,21.0,7.0
5,J Brooks,2,43,13,21.5,6.5
5,J Gillett,3,57,33,19.0,11.0
5,M Oliver,3,63,38,21.0,12.67
5,M Salisbury,2,38,25,19.0,12.5
5,P Tierney,3,72,19,24.0,6.33
5,R Jones,2,40,20,20.0,10.0
5,S Attwell,3,70,35,23.33,11.67
5,S Barrott,3,55,26,18.33,8.67
5,T Bramall,2,41,20,20.5,10.0
5,T Kirk,1,28,9,28.0,9.0
8,A Taylor,3,62,24,20.67,8.0
8,C Kavanagh,3,53,35,17.67,11.67
8,C Pawson,2,44,26,22.0,13.0
8,D England,2,52,18,26.0,9.0
8,J Gillett,2,39,14,19.5,7.0
8,M Oliver,3,64,27,21.33,9.0
8,M Salisbury,1,14,7,14.0,7.0
8,P Bankes,3,66,29,22.0,9.67
8,R Jones,2,46,22,23.0,11.0
8,S Attwell,2,43,15,21.5,7.5
8,S Barrott,2,49,15,24.5,7.5
8,S Hooper,3,91,24,30.33,8.0
8,T Bramall,1,29,12,29.0,12.0
8,T Harrington,1,20,11,20.0,11.0
9,A Madley,1,23,10,23.0,10.0
9,A Taylor,2,36,10,18.0,5.0
9,C Kavanagh,3,68,34,22.67,11.33
9,C Pawson,2,59,12,29.5,6.0
9,D England,2,40,21,20.0,10.5
9,J Gillett,2,32,35,16.0,17.5
9,M Oliver,3,67,37,22.33,12.33
9,M Salisbury,1,20,19,20.0,19.0
9,P Bankes,2,53,20,26.5,10.0
9,R Jones,2,29,19,14.5,9.5
9,S Attwell,2,43,24,21.5,12.0
9,S Barrott,2,45,20,22.5,10.0
9,S Hooper,2,57,26,28.5,13.0
9,T Bramall,2,41,17,20.5,8.5
9,T Harrington,2,37,27,18.5,13.5
10,A Kitchen,1,24,10,24.0,10.0
10,A Madley,2,48,26,24.0,13.0
10,A Taylor,3,49,32,16.33,10.67
10,C Kavanagh,1,29,8,29.0,8.0
10,C Pawson,2,35,29,17.5,14.5
10,D England,1,16,5,16.0,5.0
10,J Brooks,1,28,11,28.0,11.0
10,J Gillett,2,46,21,23.0,10.5
10,M Oliver,2,46,24,23.0,12.0
10,M Salisbury,1,29,6,29.0,6.0
10,P Bankes,2,60,16,30.0,8.0
10,R Jones,1,17,5,17.0,5.0
10,S Attwell,2,45,12,22.5,6.0
10,S Barrott,1,24,10,24.0,10.0
10,S Hooper,3,53,28,17.67,9.33
10,T Bramall,2,39,12,19.5,6.0
10,T Harrington,2,41,22,20.5,11.0
10,T Robinson,1,17,6,17.0,6.0
11,A Kitchen,1,26,11,26.0,11.0
11,A Madley,2,44,26,22.0,13.0
11,A Taylor,3,66,26,22.0,8.67
11,C Kavanagh,4,105,42,26.25,10.5
11,C Pawson,2,36,19,18.0,9.5
11,D England,3,61,34,20.33,11.33
11,J Brooks,2,55,27,27.5,13.5
11,J Gillett,2,47,21,23.5,10.5
11,M Oliver,3,64,27,21.33,9.0
11,M Salisbury,1,28,11,28.0,11.0
11,P Bankes,3,67,30,22.33,10.0
11,R Jones,3,77,27,25.67,9.0
11,S Attwell,3,65,23,21.67,7.67
11,S Barrott,3,53,33,17.67,11.0
11,T Bramall,2,41,16,20.5,8.0
11,T Harrington,1,21,11,21.0,11.0
11,T Robinson,2,49,22,24.5,11.0
12,A Kitchen,1,22,12,22.0,12.0
12,A Madley,3,65,33,21.67,11.0
12,A Taylor,4,87,36,21.75,9.0
12,C Kavanagh,3,70,26,23.33,8.67
12,C Pawson,3,55,24,18.33,8.0
12,D England,4,91,23,22.75,5.75
12,J Brooks,3,53,22,17.67,7.33
12,J Gillett,1,12,5,12.0,5.0
12,M Donohue,1,27,7,27.0,7.0
12,M Oliver,4,89,40,22.25,10.0
12,M Salisbury,3,86,27,28.67,9.0
12,P Bankes,3,55,32,18.33,10.67
12,P Tierney,1,26,6,26.0,6.0
12,R Jones,4,69,38,17.25,9.5
12,S Attwell,3,59,42,19.67,14.0
12,S Barrott,4,61,36,15.25,9.0
12,S Hooper,3,65,35,21.67,11.67
12,T Bramall,4,77,56,19.25,14.0
12,T Harrington,2,32,24,16.0,12.0
12,T Kirk,1,17,7,17.0,7.0
12,T Robinson,1,30,12,30.0,12.0
