Referee,Matches_Officiated,Total_Fouls,Total_Yellow_Cards,Total_Red_Cards,Avg_Fouls_Per_Match,Avg_Yellow_Cards_Per_Match,Avg_Red_Cards_Per_Match
A Taylor,31,635,122,2,20.48,3.94,0.06
C Kavanagh,30,674,119,3,22.47,3.97,0.1
M Oliver,29,659,92,2,22.72,3.17,0.07
S Attwell,25,543,115,2,21.72,4.6,0.08
S Barrott,24,464,89,1,19.33,3.71,0.04
D England,23,507,99,3,22.04,4.3,0.13
J Gillett,22,435,79,1,19.77,3.59,0.05
P Bankes,22,494,84,4,22.45,3.82,0.18
T Bramall,22,473,89,2,21.5,4.05,0.09
A Madley,21,480,68,4,22.86,3.24,0.19
C Pawson,21,456,56,2,21.71,2.67,0.1
R Jones,18,379,75,0,21.06,4.17,0.0
S Hooper,15,350,60,2,23.33,4.0,0.13
M Salisbury,14,307,61,0,21.93,4.36,0.0
J Brooks,12,251,44,3,20.92,3.67,0.25
P Tierney,12,242,40,2,20.17,3.33,0.17
T Harrington,11,220,33,1,20.0,3.0,0.09
T Robinson,9,206,36,1,22.89,4.0,0.11
T Kirk,6,144,16,3,24.0,2.67,0.5
F Hallam,5,109,13,0,21.8,2.6,0.0
A Kitchen,4,93,15,0,23.25,3.75,0.0
M Donohue,3,79,15,0,26.33,5.0,0.0
L Smith,1,24,4,1,24.0,4.0,1.0
