team,total_goals,total_shots,conversion_rate_percentage
Brentford,55,405,13.58
Man City,77,595,12.94
Arsenal,71,552,12.86
Aston Villa,56,483,11.59
Man United,69,596,11.58
West Ham,46,404,11.39
Chelsea,58,511,11.35
Everton,47,420,11.19
Bournemouth,58,525,11.05
Tottenham,48,436,11.01
Newcastle,53,492,10.77
Liverpool,63,588,10.71
Burnley,38,355,10.7
Sunderland,42,395,10.63
Brighton,52,495,10.51
Leeds,49,478,10.25
Nott'm Forest,48,476,10.08
Fulham,47,481,9.77
Crystal Palace,41,442,9.28
Wolves,27,370,7.3
