team,total_shots,total_sot,shot_accuracy_rate_percentage
Brentford,405,147,36.3
Man United,596,216,36.24
Newcastle,492,176,35.77
Brighton,495,176,35.56
Aston Villa,483,170,35.2
West Ham,404,142,35.15
Man City,595,205,34.45
Tottenham,436,150,34.4
Everton,420,144,34.29
Bournemouth,525,178,33.9
Arsenal,552,186,33.7
Burnley,355,118,33.24
Wolves,370,123,33.24
Nott'm Forest,476,156,32.77
Chelsea,511,164,32.09
Crystal Palace,442,141,31.9
Sunderland,395,126,31.9
Leeds,478,151,31.59
Liverpool,588,175,29.76
Fulham,481,138,28.69
