team,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses
Arsenal,15,2,2,11,5,3
Aston Villa,12,2,5,7,6,6
Bournemouth,7,10,2,6,8,5
Brentford,8,8,3,6,3,10
Brighton,9,6,4,5,5,9
Burnley,2,7,10,2,3,14
Chelsea,7,5,7,7,5,7
Crystal Palace,4,9,6,7,3,9
Everton,6,5,8,7,5,7
Fulham,11,2,6,4,5,10
Leeds,9,5,5,2,9,8
Liverpool,10,6,3,7,3,9
Man City,14,3,2,9,6,4
Man United,13,3,3,7,8,4
Newcastle,10,2,7,4,5,10
Nott'm Forest,4,8,7,7,3,9
Sunderland,9,6,4,5,6,8
Tottenham,3,6,10,7,5,7
West Ham,6,4,9,4,5,10
Wolves,3,5,11,0,6,13
